,signage_id,day,name,address,state,popular_time,weekend
56,1208,Wednesday,TMpoint Shah Alam,"Persiaran Damai,Seksyen 11,Shah Alam,Selangor",Selangor,579,0.0
57,1208,Thursday,TMpoint Shah Alam,"Persiaran Damai,Seksyen 11,Shah Alam,Selangor",Selangor,557,0.0
58,1208,Monday,TMpoint Shah Alam,"Persiaran Damai,Seksyen 11,Shah Alam,Selangor",Selangor,520,0.0
59,1208,Tuesday,TMpoint Shah Alam,"Persiaran Damai,Seksyen 11,Shah Alam,Selangor",Selangor,475,0.0
60,1208,Friday,TMpoint Shah Alam,"Persiaran Damai,Seksyen 11,Shah Alam,Selangor",Selangor,455,0.0
61,1208,Sunday,TMpoint Shah Alam,"Persiaran Damai,Seksyen 11,Shah Alam,Selangor",Selangor,0,1.0
62,1208,Saturday,TMpoint Shah Alam,"Persiaran Damai,Seksyen 11,Shah Alam,Selangor",Selangor,0,1.0
63,1209,Saturday,TMpoint Banting,"Jalan Suasa 1,Kawasan Perindustrian Banting,Banting,Selangor",Selangor,634,1.0
64,1209,Sunday,TMpoint Banting,"Jalan Suasa 1,Kawasan Perindustrian Banting,Banting,Selangor",Selangor,404,1.0
65,1209,Wednesday,TMpoint Banting,"Jalan Suasa 1,Kawasan Perindustrian Banting,Banting,Selangor",Selangor,295,0.0
66,1209,Thursday,TMpoint Banting,"Jalan Suasa 1,Kawasan Perindustrian Banting,Banting,Selangor",Selangor,288,0.0
67,1209,Monday,TMpoint Banting,"Jalan Suasa 1,Kawasan Perindustrian Banting,Banting,Selangor",Selangor,272,0.0
68,1209,Friday,TMpoint Banting,"Jalan Suasa 1,Kawasan Perindustrian Banting,Banting,Selangor",Selangor,258,0.0
69,1209,Tuesday,TMpoint Banting,"Jalan Suasa 1,Kawasan Perindustrian Banting,Banting,Selangor",Selangor,247,0.0
70,1210,Thursday, TMpoint Kuala Selangor,"Jalan Klinik,Taman Malawati,Kuala Selangor,Selangor",Selangor,713,0.0
71,1210,Wednesday, TMpoint Kuala Selangor,"Jalan Klinik,Taman Malawati,Kuala Selangor,Selangor",Selangor,673,0.0
72,1210,Tuesday, TMpoint Kuala Selangor,"Jalan Klinik,Taman Malawati,Kuala Selangor,Selangor",Selangor,594,0.0
73,1210,Monday, TMpoint Kuala Selangor,"Jalan Klinik,Taman Malawati,Kuala Selangor,Selangor",Selangor,547,0.0
74,1210,Friday, TMpoint Kuala Selangor,"Jalan Klinik,Taman Malawati,Kuala Selangor,Selangor",Selangor,515,0.0
75,1210,Sunday, TMpoint Kuala Selangor,"Jalan Klinik,Taman Malawati,Kuala Selangor,Selangor",Selangor,0,1.0
76,1210,Saturday, TMpoint Kuala Selangor,"Jalan Klinik,Taman Malawati,Kuala Selangor,Selangor",Selangor,0,1.0
77,1211,Sunday,TMpoint Damansara Utama,"Jalan SS 21/1a,Damansara Utama,Petaling Jaya,Selangor",Selangor,668,1.0
78,1211,Saturday,TMpoint Damansara Utama,"Jalan SS 21/1a,Damansara Utama,Petaling Jaya,Selangor",Selangor,510,1.0
79,1211,Friday,TMpoint Damansara Utama,"Jalan SS 21/1a,Damansara Utama,Petaling Jaya,Selangor",Selangor,445,0.0
80,1211,Thursday,TMpoint Damansara Utama,"Jalan SS 21/1a,Damansara Utama,Petaling Jaya,Selangor",Selangor,397,0.0
81,1211,Tuesday,TMpoint Damansara Utama,"Jalan SS 21/1a,Damansara Utama,Petaling Jaya,Selangor",Selangor,384,0.0
82,1211,Monday,TMpoint Damansara Utama,"Jalan SS 21/1a,Damansara Utama,Petaling Jaya,Selangor",Selangor,362,0.0
83,1211,Wednesday,TMpoint Damansara Utama,"Jalan SS 21/1a,Damansara Utama,Petaling Jaya,Selangor",Selangor,304,0.0
84,1212,Thursday,TMpoint Kajang,"Jalan Metro Avenue 2,Metro Avenue,Kajang,Selangor",Selangor,940,0.0
85,1212,Saturday,TMpoint Kajang,"Jalan Metro Avenue 2,Metro Avenue,Kajang,Selangor",Selangor,869,1.0
86,1212,Monday,TMpoint Kajang,"Jalan Metro Avenue 2,Metro Avenue,Kajang,Selangor",Selangor,869,0.0
87,1212,Tuesday,TMpoint Kajang,"Jalan Metro Avenue 2,Metro Avenue,Kajang,Selangor",Selangor,799,0.0
88,1212,Friday,TMpoint Kajang,"Jalan Metro Avenue 2,Metro Avenue,Kajang,Selangor",Selangor,686,0.0
89,1212,Wednesday,TMpoint Kajang,"Jalan Metro Avenue 2,Metro Avenue,Kajang,Selangor",Selangor,581,0.0
90,1212,Sunday,TMpoint Kajang,"Jalan Metro Avenue 2,Metro Avenue,Kajang,Selangor",Selangor,31,1.0
91,1213,Saturday,TMpoint Cyberjaya,"Cyberjaya,Cyberjaya,Selangor",Selangor,667,1.0
92,1213,Tuesday,TMpoint Cyberjaya,"Cyberjaya,Cyberjaya,Selangor",Selangor,515,0.0
93,1213,Wednesday,TMpoint Cyberjaya,"Cyberjaya,Cyberjaya,Selangor",Selangor,493,0.0
94,1213,Thursday,TMpoint Cyberjaya,"Cyberjaya,Cyberjaya,Selangor",Selangor,481,0.0
95,1213,Friday,TMpoint Cyberjaya,"Cyberjaya,Cyberjaya,Selangor",Selangor,432,0.0
96,1213,Sunday,TMpoint Cyberjaya,"Cyberjaya,Cyberjaya,Selangor",Selangor,396,1.0
97,1213,Monday,TMpoint Cyberjaya,"Cyberjaya,Cyberjaya,Selangor",Selangor,351,0.0
98,1214,Saturday,TMpoint Taipan,"Jalan USJ 10/1a,Taipan Business Centre,Subang Jaya,Selangor",Selangor,818,1.0
99,1214,Sunday,TMpoint Taipan,"Jalan USJ 10/1a,Taipan Business Centre,Subang Jaya,Selangor",Selangor,795,1.0
100,1214,Thursday,TMpoint Taipan,"Jalan USJ 10/1a,Taipan Business Centre,Subang Jaya,Selangor",Selangor,667,0.0
101,1214,Tuesday,TMpoint Taipan,"Jalan USJ 10/1a,Taipan Business Centre,Subang Jaya,Selangor",Selangor,606,0.0
102,1214,Monday,TMpoint Taipan,"Jalan USJ 10/1a,Taipan Business Centre,Subang Jaya,Selangor",Selangor,590,0.0
103,1214,Wednesday,TMpoint Taipan,"Jalan USJ 10/1a,Taipan Business Centre,Subang Jaya,Selangor",Selangor,573,0.0
104,1214,Friday,TMpoint Taipan,"Jalan USJ 10/1a,Taipan Business Centre,Subang Jaya,Selangor",Selangor,511,0.0
105,1215,Monday,TMpoint Kangar,"Jalan Seruling,Pusat Bandar Kangar,Kangar,Perlis",Perlis,602,0.0
106,1215,Wednesday,TMpoint Kangar,"Jalan Seruling,Pusat Bandar Kangar,Kangar,Perlis",Perlis,595,0.0
107,1215,Thursday,TMpoint Kangar,"Jalan Seruling,Pusat Bandar Kangar,Kangar,Perlis",Perlis,498,0.0
108,1215,Tuesday,TMpoint Kangar,"Jalan Seruling,Pusat Bandar Kangar,Kangar,Perlis",Perlis,472,0.0
109,1215,Saturday,TMpoint Kangar,"Jalan Seruling,Pusat Bandar Kangar,Kangar,Perlis",Perlis,460,1.0
110,1215,Friday,TMpoint Kangar,"Jalan Seruling,Pusat Bandar Kangar,Kangar,Perlis",Perlis,450,0.0
111,1215,Sunday,TMpoint Kangar,"Jalan Seruling,Pusat Bandar Kangar,Kangar,Perlis",Perlis,0,1.0
112,1216,Wednesday,TMpoint Alor Setar,"Bandar Alor Setar,Alor Setar,Kedah",Kedah,606,0.0
113,1216,Monday,TMpoint Alor Setar,"Bandar Alor Setar,Alor Setar,Kedah",Kedah,535,0.0
114,1216,Thursday,TMpoint Alor Setar,"Bandar Alor Setar,Alor Setar,Kedah",Kedah,485,0.0
115,1216,Friday,TMpoint Alor Setar,"Bandar Alor Setar,Alor Setar,Kedah",Kedah,477,1.0
116,1216,Sunday,TMpoint Alor Setar,"Bandar Alor Setar,Alor Setar,Kedah",Kedah,476,0.0
117,1216,Tuesday,TMpoint Alor Setar,"Bandar Alor Setar,Alor Setar,Kedah",Kedah,362,0.0
118,1216,Saturday,TMpoint Alor Setar,"Bandar Alor Setar,Alor Setar,Kedah",Kedah,327,1.0
119,1217,Thursday,TMpoint Langkawi,"Jalan Pandak Mayah 6,Kuah,Langkawi,Kedah",Kedah,849,0.0
120,1217,Friday,TMpoint Langkawi,"Jalan Pandak Mayah 6,Kuah,Langkawi,Kedah",Kedah,810,1.0
121,1217,Wednesday,TMpoint Langkawi,"Jalan Pandak Mayah 6,Kuah,Langkawi,Kedah",Kedah,558,0.0
122,1217,Sunday,TMpoint Langkawi,"Jalan Pandak Mayah 6,Kuah,Langkawi,Kedah",Kedah,522,0.0
123,1217,Saturday,TMpoint Langkawi,"Jalan Pandak Mayah 6,Kuah,Langkawi,Kedah",Kedah,513,1.0
124,1217,Tuesday,TMpoint Langkawi,"Jalan Pandak Mayah 6,Kuah,Langkawi,Kedah",Kedah,0,0.0
125,1217,Monday,TMpoint Langkawi,"Jalan Pandak Mayah 6,Kuah,Langkawi,Kedah",Kedah,0,0.0
